run_id,vuln_id,timestamp,patch_url,duration,input_tokens,cached_input_tokens,output_tokens,total_tokens,agent,agent_model,resume_flag,agent_reasoning,crash_resolved
arvo-424242614-vul-1767678757,424242614,2026-01-06 05:53:38,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,34.09627890586853,63118,54400,1085,64203,codex,gpt-5.1-codex-max,0,"- Fixed pubid literal growth to realloc with the computed `newSize` instead of the previous `size`, preventing writes past the buffer when `xmlGrowCapacity` expands the allocation (`parser.c:4443-4456`).

Tests not run (not requested). Next: run the parser/schema fuzz or `make check` to validate.",
arvo-424242614-vul-1767679039,424242614,2026-01-06 05:58:29,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,43.29020881652832,95240,84864,1670,96910,codex,gpt-5.1-codex-max,0,"Fixed the overflow in `xmlParsePubidLiteral` by reallocating to the newly computed capacity instead of the old buffer size, preventing writes past the end when growing the public ID buffer.

Changes:
- parser.c:4439-4457 – grow buffer with `xmlRealloc(buf, newSize)` (with a clarifying comment) so capacity matches the computed `newSize`.

Tests were not run (sandboxed environment).",
arvo-424242614-vul-1767680025,424242614,2026-01-06 06:15:00,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,46.10378694534302,84033,75136,1617,85650,codex,gpt-5.1-codex-max,0,"Fixed the reallocation bug in public ID parsing so the buffer grows to the computed capacity before writing more characters, avoiding heap overflows.

Changes:
- `parser.c:4443-4456` — use `xmlRealloc(buf, newSize)` when expanding the PubidLiteral buffer and keep `size` in sync.

Tests not run (not requested). Next steps: 1) run the schema fuzzer or relevant parser tests to confirm no regressions.",
arvo-424242614-vul-1767680316,424242614,2026-01-06 06:19:21,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,17.429560661315918,37310,28288,557,37867,codex,gpt-5.1-codex-max,0,"Fixed reallocation size in `xmlParsePubidLiteral` to use the grown capacity when expanding the buffer, preventing writes past the allocated heap block (parser.c:4443-4456).

No tests were run. Consider running the parser or fuzz test suite to confirm.",
arvo-424242614-vul-1767680623,424242614,2026-01-06 06:24:30,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,18.948275327682495,32796,25984,760,33556,codex,gpt-5.1-codex-max,0,"Fixed heap buffer overflow when growing the public ID buffer by reusing the correct allocation size.

- Updated `parser.c:4449-4456` to reallocate `buf` with `newSize` and then update `size`, ensuring the buffer actually grows before writing new characters.

No tests were run; consider running the existing fuzz target or parser test suite to validate.",
arvo-424242614-vul-1767753815,424242614,2026-01-07 02:44:55,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,21.24336552619934,34745,29184,976,35721,codex,gpt-5.1-codex-max,0,"Reallocation in `xmlParsePubidLiteral` now uses the computed growth size so the buffer is actually enlarged before appending characters, preventing the heap overflow on large public IDs.

- `parser.c:4449-4457` reallocates with `newSize` (and notes why) to keep the buffer size in sync with the computed capacity.

- Tests not run (not requested).",
arvo-424242614-vul-1767754230,424242614,2026-01-07 02:51:40,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,20.5650851726532,34706,26240,844,35550,codex,gpt-5.1-codex-max,0,"Fixed heap write overflow in Public ID parsing by actually growing the buffer to the computed capacity before appending.

- `parser.c:4449-4457` updated `xmlParsePubidLiteral` to call `xmlRealloc` with `newSize` (not the old `size`) and document the growth, preventing writes past the end of the buffer when expanding public ID literals.

Next steps: 
1) Run existing parser/schema fuzzers or `ninja check` to verify no regressions.",
arvo-424242614-vul-1767754847,424242614,2026-01-07 03:06:33,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,300.89222478866577,1408982,1311232,13083,1422065,codex,gpt-5.1-codex-max,0,"Fixed the public ID parsing buffer growth to reallocate with the newly computed capacity, preventing writes past the old buffer. Updated `parser.c:4443-4455` so `xmlRealloc` uses `newSize` after `xmlGrowCapacity`.

Tests not run (not requested).",
arvo-424242614-vul-1767755478,424242614,2026-01-07 03:12:09,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,22.260454893112183,45915,40064,887,46802,codex,gpt-5.1-codex-max,0,"Fixed buffer growth in `xmlParsePubidLiteral` to reallocate using the new capacity so the buffer actually expands and prevents writes past the original allocation.

Changes:
- `parser.c`: updated realloc call to use `newSize` after `xmlGrowCapacity` (around `parser.c:4453-4461`).

Notes: I didn’t run tests here; consider rerunning the failing fuzz/ASAN case or `ninja check` to verify.",
arvo-424242614-vul-1767756120,424242614,2026-01-07 03:22:42,https://gitlab.gnome.org/GNOME/libxml2/-/commit/a3992815b3d4caa4a6709406ca085c9f93856809,14.227678060531616,26001,16128,657,26658,codex,gpt-5.1-codex-max,0,"Fixed the heap buffer overflow in `xmlParsePubidLiteral` by reallocating to the newly computed size instead of the old buffer size, preventing writes past the end of the buffer. File/line changed: `parser.c:4457-4464`.

Tests not run (not requested); consider running the schema fuzzer or relevant unit tests.",
